fram.stock.id,psc.stock.id
17,1
18,1
23,1
24,1
29,2
30,2
35,3
36,3
45,4
46,4
55,4
56,4
59,4
60,4
115,5
116,5
117,5
118,5
131,6
132,6
135,7
136,7
139,8
140,8
149,9
150,9
153,9
154,9
157,9
158,9
207,12
208,12
211,13
212,13
227,10
228,10
231,11
232,11
219,14
166,15
176,16
